transaction_id,product_name,amount,customer_full_name,transaction_date,branch
1,Headphones,7200,Isabella Lee,2025-08-25,tanta
2,Monitor,30000,Reginald Nelson,2025-08-25,tanta
3,Laptop,36000,Stephanie Short,2025-08-25,cairo
4,Mouse,750,Robert Nelson,2025-08-25,tanta
5,Monitor,9000,Douglas Riley,2025-08-25,cairo
6,Printer,45000,Roy Robertson,2025-08-25,tanta
7,Headphones,4000,Andrew Vance,2025-08-25,tanta
8,Mouse,2250,Katherine Ware,2025-08-25,tanta
9,Printer,13500,Ashley Fisher,2025-08-25,alex
10,Keyboard,3500,Mark Wells,2025-08-25,cairo
11,Printer,45000,Mark Medina,2025-08-25,cairo
12,Mouse,1500,Ann Campbell,2025-08-25,alex
13,Printer,4500,Joel Smith,2025-08-25,cairo
14,Keyboard,1000,Kristin Hayes,2025-08-25,cairo
15,Keyboard,3000,Brittany Ramos,2025-08-25,tanta
16,Keyboard,3500,Laura Thompson,2025-08-25,cairo
17,Laptop,84000,Jessica Jones,2025-08-25,tanta
18,Mouse,1000,Jill Morgan,2025-08-25,cairo
19,Monitor,6000,Kurt Mathis,2025-08-25,cairo
20,Mouse,500,Gary Skinner,2025-08-25,cairo
21,Mouse,250,Aaron Rush,2025-08-25,alex
22,Mouse,2000,William Sharp,2025-08-25,cairo
23,USB Flash Drive,1200,William Bailey,2025-08-25,tanta
24,Printer,45000,Samuel Golden,2025-08-25,alex
25,Monitor,21000,Anthony Evans,2025-08-25,cairo
26,Printer,13500,Jessica Lewis,2025-08-25,tanta
27,Monitor,9000,Jared Walker,2025-08-25,tanta
28,Keyboard,2500,Terrence Jackson,2025-08-25,cairo
29,USB Flash Drive,1200,Julie Hudson,2025-08-25,tanta
30,Headphones,2400,Peter Acosta,2025-08-25,cairo
31,USB Flash Drive,1500,Elizabeth Roberts,2025-08-25,alex
32,Laptop,96000,Denise Wallace,2025-08-25,tanta
33,Monitor,27000,Kenneth Gutierrez,2025-08-25,cairo
34,Laptop,72000,Taylor Molina,2025-08-25,cairo
35,Laptop,72000,Katie Bell,2025-08-25,alex
36,Laptop,84000,Katherine Rodriguez,2025-08-25,alex
37,USB Flash Drive,150,Aaron Jones,2025-08-25,tanta
38,Keyboard,3500,Katherine Walton,2025-08-25,alex
39,Mouse,1500,Thomas Mullins,2025-08-25,cairo
40,Mouse,1500,Julian Davidson,2025-08-25,tanta
41,Keyboard,500,Samuel Nelson,2025-08-25,tanta
42,Monitor,30000,Sara Navarro,2025-08-25,cairo
43,Laptop,108000,Megan Roberson,2025-08-25,alex
44,Headphones,8000,Dana Wolf,2025-08-25,alex
45,USB Flash Drive,1350,Tiffany Davis,2025-08-25,alex
46,USB Flash Drive,1200,Cody Rodriguez,2025-08-25,alex
47,USB Flash Drive,450,Jeanette Jacobs,2025-08-25,cairo
48,Printer,4500,Thomas Lloyd,2025-08-25,alex
49,Monitor,3000,Darius Robertson,2025-08-25,cairo
50,Laptop,12000,William Ruiz,2025-08-25,cairo
51,Keyboard,2500,Craig Vasquez,2025-08-25,cairo
52,Mouse,750,Erika Shaw,2025-08-25,alex
53,Monitor,30000,Evan Montes,2025-08-25,tanta
54,Keyboard,2500,Renee Schmidt,2025-08-25,tanta
55,Monitor,12000,Tammy Washington,2025-08-25,alex
56,Laptop,48000,Kevin Garcia,2025-08-25,alex
57,Printer,22500,Crystal Taylor,2025-08-25,tanta
58,Headphones,1600,Pamela Silva,2025-08-25,tanta
59,USB Flash Drive,450,Patricia Mason,2025-08-25,cairo
60,USB Flash Drive,150,Mark Cannon,2025-08-25,cairo
61,USB Flash Drive,300,David Tucker,2025-08-25,cairo
62,Headphones,3200,Edward Cobb,2025-08-25,tanta
63,Keyboard,3000,Victoria Wilson,2025-08-25,cairo
64,Mouse,2250,Theresa Murray,2025-08-25,tanta
65,Headphones,4000,Amanda Ross,2025-08-25,tanta
66,Headphones,3200,Madison Erickson,2025-08-25,cairo
67,USB Flash Drive,300,Jorge Sullivan,2025-08-25,cairo
68,Printer,4500,Brooke Castillo,2025-08-25,cairo
69,Keyboard,4000,Eric Lewis,2025-08-25,alex
70,USB Flash Drive,750,Thomas Potts,2025-08-25,tanta
71,Mouse,2250,Donald Edwards,2025-08-25,cairo
72,Monitor,30000,David Greene,2025-08-25,cairo
73,Keyboard,500,Timothy Parker,2025-08-25,alex
74,Headphones,7200,Nicholas Wong,2025-08-25,cairo
75,Keyboard,1500,John Brown,2025-08-25,alex
76,Printer,4500,Natasha Davis,2025-08-25,alex
77,USB Flash Drive,750,Sydney Mccann,2025-08-25,tanta
78,Headphones,800,Henry Burke,2025-08-25,cairo
79,Printer,9000,Jennifer Peck,2025-08-25,alex
80,Mouse,1750,William Tucker,2025-08-25,alex
81,Laptop,72000,Daniel Prince,2025-08-25,tanta
82,Monitor,24000,Joseph Gonzales,2025-08-25,cairo
83,Keyboard,1000,Vincent Thomas,2025-08-25,alex
84,Laptop,36000,Amber Smith,2025-08-25,tanta
85,Keyboard,1000,Bryan Wilkins,2025-08-25,cairo
86,Headphones,6400,Kaylee Estrada,2025-08-25,tanta
87,Monitor,18000,Willie Munoz,2025-08-25,cairo
88,Headphones,5600,Edward Thompson,2025-08-25,tanta
89,Headphones,2400,Christine Clark,2025-08-25,tanta
90,Laptop,60000,Jill Goodman,2025-08-25,tanta
91,Mouse,2250,Amber Suarez,2025-08-25,tanta
92,Headphones,4800,Emily Harris,2025-08-25,cairo
93,Headphones,4000,Danielle Turner,2025-08-25,cairo
94,Keyboard,1000,Monica Garcia,2025-08-25,cairo
95,Laptop,108000,Danielle Mora,2025-08-25,cairo
96,Mouse,1500,Ashley Jackson,2025-08-25,cairo
97,Printer,18000,Robert Reynolds,2025-08-25,alex
98,USB Flash Drive,900,Sandra English,2025-08-25,alex
99,USB Flash Drive,1350,Zachary Mendez,2025-08-25,cairo
100,Keyboard,4000,Jerry Keith,2025-08-25,tanta
101,Mouse,250,Dylan Rodriguez,2025-08-25,cairo
102,Laptop,96000,Megan Wilson,2025-08-25,tanta
103,Printer,31500,James Morrison,2025-08-25,cairo
104,Mouse,2000,Cynthia West,2025-08-25,cairo
105,Keyboard,1000,Mark Landry,2025-08-25,tanta
106,Monitor,15000,Aaron Richards,2025-08-25,cairo
107,Printer,27000,Lindsay Burnett,2025-08-25,cairo
108,Headphones,4000,Eric Clarke,2025-08-25,tanta
109,Keyboard,5000,David Mcguire,2025-08-25,tanta
110,Headphones,4800,Michelle Cook,2025-08-25,alex
111,Monitor,6000,Christina Wilson,2025-08-25,tanta
112,Printer,27000,Donald Bennett,2025-08-25,cairo
113,Monitor,21000,Kim Murphy,2025-08-25,alex
114,USB Flash Drive,150,Michelle Kidd,2025-08-25,cairo
115,USB Flash Drive,1050,Maria Goodwin,2025-08-25,tanta
116,Keyboard,500,Jeffrey Cummings,2025-08-25,cairo
117,Monitor,9000,Amber Morrison,2025-08-25,tanta
118,Monitor,3000,Jessica Larson,2025-08-25,alex
119,Keyboard,3500,Lindsey Dunn,2025-08-25,tanta
120,Laptop,12000,Nathaniel Stevens,2025-08-25,alex
121,Keyboard,3500,Amanda Gibbs,2025-08-25,alex
122,Monitor,6000,Philip Farrell,2025-08-25,tanta
123,Mouse,1250,Megan Roberson,2025-08-25,tanta
124,Mouse,1500,Karen Esparza,2025-08-25,cairo
125,Printer,31500,Bryan Silva,2025-08-25,cairo
126,Headphones,3200,Andrew Juarez,2025-08-25,cairo
127,USB Flash Drive,900,Dana Robinson,2025-08-25,tanta
128,USB Flash Drive,750,Daniel Dickerson,2025-08-25,cairo
129,Laptop,12000,William Wall,2025-08-25,alex
130,USB Flash Drive,1500,Savannah Brown,2025-08-25,tanta
131,Mouse,1500,Monica Smith,2025-08-25,tanta
132,Monitor,9000,Mark Long,2025-08-25,cairo
133,Keyboard,1000,Donald Walker,2025-08-25,alex
134,Mouse,2250,Lauren Guerra,2025-08-25,tanta
135,Mouse,2500,Amber Anderson,2025-08-25,cairo
136,Keyboard,2500,David Buckley,2025-08-25,tanta
137,Laptop,96000,Timothy Nichols,2025-08-25,cairo
138,Laptop,60000,William Thompson,2025-08-25,alex
139,Headphones,4000,Jennifer Marshall,2025-08-25,tanta
140,Printer,31500,Katie Padilla,2025-08-25,cairo
141,USB Flash Drive,300,Shannon Johnson,2025-08-25,tanta
142,Headphones,1600,Brian Bishop,2025-08-25,cairo
143,Printer,9000,Bryan Lynn,2025-08-25,cairo
144,Laptop,12000,Katie Alexander,2025-08-25,alex
145,USB Flash Drive,150,Mark Cannon,2025-08-25,alex
146,Printer,18000,Stephanie Anderson,2025-08-25,alex
147,Mouse,750,Amanda Mueller,2025-08-25,cairo
148,Printer,13500,David Mcguire,2025-08-25,cairo
149,Mouse,1500,Deborah Hardy,2025-08-25,alex
150,Mouse,1000,Tyler Davis,2025-08-25,cairo
151,Mouse,1500,James Mckinney,2025-08-25,alex
152,Monitor,24000,Jacqueline Johnson,2025-08-25,alex
153,Headphones,3200,Jessica Reed,2025-08-25,alex
154,Laptop,12000,Wesley Castillo,2025-08-25,cairo
155,Mouse,2250,Joshua Reyes,2025-08-25,cairo
156,Printer,45000,Michelle Harrison,2025-08-25,cairo
157,Printer,22500,Bobby Smith,2025-08-25,cairo
158,Monitor,6000,Allison Lawson,2025-08-25,cairo
159,Keyboard,5000,Matthew Turner,2025-08-25,cairo
160,Headphones,2400,Deborah Hardy,2025-08-25,tanta
161,Monitor,27000,Sheila Simmons,2025-08-25,alex
162,Mouse,2000,Marilyn Cooper,2025-08-25,alex
163,USB Flash Drive,1500,Meghan Wright,2025-08-25,tanta
164,USB Flash Drive,1350,Terry Miller,2025-08-25,alex
165,Mouse,2500,Daniel Dickerson,2025-08-25,cairo
166,Monitor,15000,Denise Davis,2025-08-25,tanta
167,Printer,40500,Keith Smith,2025-08-25,alex
168,USB Flash Drive,150,John Brown,2025-08-25,tanta
169,Keyboard,4500,Luis Hughes,2025-08-25,alex
170,Laptop,96000,Amber Mcclure,2025-08-25,alex
171,Headphones,7200,James King,2025-08-25,alex
172,Headphones,3200,Carl Reynolds,2025-08-25,cairo
173,Monitor,9000,Nicholas Cook,2025-08-25,alex
174,Printer,9000,Jonathan Eaton,2025-08-25,tanta
175,Printer,9000,James Morrison,2025-08-25,alex
176,Keyboard,1500,Michael Morrow,2025-08-25,tanta
177,Headphones,1600,Cole Wells,2025-08-25,tanta
178,Keyboard,3500,Robert Simmons,2025-08-25,tanta
179,Keyboard,4000,Haley Colon,2025-08-25,tanta
